app name,media source,country,user id,platform,event date,event name,event revenue,event revenue currency
Clash of Fire Android,organic,US,1454298220987-2496847276841660263,android,2/1/16,quest_fail,0,USD
Clash of Fire iOS,organic,US,1454249833000-6281301,ios,2/4/16,quest_start,0,USD
Clash of Fire Android,organic,ID,1454314493039-6230315430144574697,android,2/7/16,quest_fail,0,USD
Clash of Fire Android,organic,PH,1446302647667-4631134923241060999,android,2/5/16,tutorial_complete,0,USD
Clash of Fire Android,organic,US,1448855629667-2158577097904475453,android,2/3/16,purchase,0.99,USD
Clash of Fire Android,organic,VN,1454308780676-9047078621136599249,android,2/4/16,quest_start,0,USD
Clash of Fire iOS,organic,US,1454320171000-7366368,ios,2/1/16,quest_clear,0,USD
Clash of Fire iOS,organic,GB,1454361475000-9294347,ios,2/7/16,quest_start,0,USD
Clash of Fire Android,organic,US,1454305593274-9153586516270656544,android,2/7/16,quest_clear,0,USD
Clash of Fire Android,organic,US,1454344152950-8731113181926310061,android,2/5/16,quest_fail,0,USD
Clash of Fire Android,organic,SG,1454286017669-654094600697802601,android,2/1/16,tutorial_complete,0,USD
Clash of Fire Android,organic,US,1454296179657-8932975083485933295,android,2/5/16,quest_start,0,USD
Clash of Fire iOS,organic,US,1454265912000-161982,ios,2/1/16,tutorial_complete,0,USD
Clash of Fire iOS,organic,US,1447102545000-5778286,ios,2/5/16,purchase,24.99,USD
Clash of Fire iOS,organic,SG,1445613225000-9272970,ios,2/6/16,purchase,16.99,USD
Clash of Fire Android,organic,SG,1454245897960-8616621319142392951,android,2/4/16,quest_start,0,USD
Clash of Fire Android,organic,US,1454291984705-4549101128068763786,android,2/4/16,quest_fail,0,USD
Clash of Fire iOS,organic,PH,1454227348000-5463289,ios,2/2/16,tutorial_complete,0,USD
Clash of Fire Android,organic,PH,1454324702873-839965027331235066,android,2/4/16,quest_fail,0,USD
Clash of Fire Android,organic,US,1454297348212-1913799668172475709,android,2/1/16,tutorial_complete,0,USD
Clash of Fire iOS,organic,GB,1454345638000-5161206,ios,2/2/16,tutorial_complete,0,USD
Clash of Fire Android,organic,US,1453784604281-2227097805286882451,android,2/7/16,quest_start,0,USD
Clash of Fire Android,organic,US,1454175753145-1788209254191236262,android,2/5/16,purchase,0.99,USD
Clash of Fire iOS,organic,VN,1454362445000-6230544,ios,2/6/16,quest_start,0,USD
Clash of Fire iOS,organic,US,1453494202000-9077658,ios,2/1/16,quest_start,0,USD
Clash of Fire Android,organic,US,1450551736904-4586167109175742620,android,2/7/16,purchase,0.99,USD
Clash of Fire iOS,organic,US,1454278118000-7099427,ios,2/2/16,quest_clear,0,USD
Clash of Fire Android,organic,US,1454298271115-8652580036091446059,android,2/3/16,quest_clear,0,USD
Clash of Fire Android,organic,US,1454343290568-6761131317010953417,android,2/1/16,quest_start,0,USD
Clash of Fire Android,organic,US,ecb41e49-1e98-4322-aa81-f095a046df23,android,2/4/16,purchase,0.99,USD
Clash of Fire iOS,organic,PH,1454325206000-4067024,ios,2/6/16,tutorial_complete,0,USD
Clash of Fire iOS,organic,US,1454341226000-5569046,ios,2/5/16,tutorial_complete,0,USD
Clash of Fire iOS,organic,DE,1419912433240609x8731,ios,2/4/16,purchase,3.99,USD
Clash of Fire Android,organic,CL,1444178151405-9116917753502819737,android,2/7/16,purchase,0.99,USD
Clash of Fire Android,organic,PH,1454396392684-4675296229745699258,android,2/6/16,tutorial_complete,0,USD
Clash of Fire iOS,organic,US,1452313981000-7465413,ios,2/2/16,purchase,16.99,USD
Clash of Fire iOS,facebook,US,1453894840000-3376072,ios,2/5/16,purchase,16.99,USD
Clash of Fire Android,organic,US,1446917559326-2424322318873168638,android,2/1/16,purchase,0.99,USD
