app name,media source,country,user id,platform,event date,event name,event revenue,event revenue currency
Clash of Fire iOS,facebook,ID,1454347714000-2641832,ios,2/2/2016,install,null,null
Clash of Fire Android,facebook,CA,1454369497933-2013405429179384640,android,2/5/2016,install,null,null
Clash of Fire iOS,facebook,US,1454284440000-8962616,ios,2/5/2016,install,null,null
Clash of Fire iOS,facebook,US,1454286898000-8320812,ios,2/5/2016,install,null,null
Clash of Fire Android,facebook,US,1454110614166-5263805555787746836,android,2/1/2016,install,null,null
Clash of Fire Android,facebook,US,1454312469437-3689525302450650121,android,2/5/2016,install,null,null
Clash of Fire iOS,facebook,SG,1454370175000-2081480,ios,2/1/2016,install,null,null
Clash of Fire iOS,facebook,GB,1454342533000-6021300,ios,2/1/2016,install,null,null
Clash of Fire Android,facebook,TH,1454368906125-6105276355043463973,android,2/1/2016,install,null,null
Clash of Fire Android,facebook,AU,1454366036610-4707327602298497042,android,2/3/2016,install,null,null
Clash of Fire Android,facebook,AU,1454293700590-1931379050053755194,android,2/2/2016,install,null,null
Clash of Fire iOS,facebook,TH,1454337637000-319426,ios,2/1/2016,install,null,null
Clash of Fire Android,organic,US,1454285876876-803987516929665003,android,2/3/2016,install,null,null
Clash of Fire Android,organic,US,1454252978421-3985789779832278242,android,2/2/2016,install,null,null
Clash of Fire iOS,organic,US,1454260942000-6968030,ios,2/2/2016,install,null,null
Clash of Fire Android,organic,US,1454287801892-1567772738224540983,android,2/2/2016,install,null,null
Clash of Fire Android,facebook,US,1454289641031-5787869174446763584,android,2/2/2016,install,null,null
Clash of Fire Android,facebook,US,1454362317879-4956653248458786054,android,2/1/2016,install,null,null
Clash of Fire Android,facebook,TH,1435549881000-1164200780609443921,android,2/5/2016,install,null,null
Clash of Fire Android,facebook,US,1454358549306-3756888494696607192,android,2/2/2016,install,null,null
Clash of Fire Android,facebook,US,1454289915948-1225559230099976922,android,2/4/2016,install,null,null
Clash of Fire Android,facebook,HN,1454257211624-8474189760610056,android,2/5/2016,install,null,null
Clash of Fire Android,organic,BR,1454346771566-5659385813914629425,android,2/5/2016,install,null,null
Clash of Fire Android,organic,DE,1454347182272-5547969472725222218,android,2/6/2016,install,null,null
Clash of Fire Android,organic,VN,1454347401873-6821336752869469002,android,2/1/2016,install,null,null
Clash of Fire Android,organic,FR,1454350299141-6614691059359941352,android,2/5/2016,install,null,null
Clash of Fire Android,organic,US,1454346628621-6131991853080894928,android,2/3/2016,install,null,null
Clash of Fire Android,organic,MM,1454353967210-2679313044852973621,android,2/1/2016,install,null,null
Clash of Fire iOS,organic,US,1454336211000-9167864,ios,2/4/2016,install,null,null
Clash of Fire Android,organic,CL,1454355397212-1729461601098405435,android,2/5/2016,install,null,null
Clash of Fire Android,organic,BR,1454356805306-7518174690689179519,android,2/3/2016,install,null,null
Clash of Fire Android,organic,MX,1454357490671-4452318374129116965,android,2/3/2016,install,null,null
Clash of Fire Android,organic,IL,1454357430634-5260623896367610104,android,2/5/2016,install,null,null
Clash of Fire iOS,organic,UA,1454367957000-9668800,ios,2/3/2016,install,null,null
Clash of Fire Android,organic,US,1454361454673-5322291921429143036,android,2/5/2016,install,null,null
Clash of Fire Android,organic,VE,1454361850513-1475226443970248780,android,2/6/2016,install,null,null
Clash of Fire Android,organic,US,1454362429590-5742818786776303944,android,2/6/2016,install,null,null
Clash of Fire Android,organic,PR,1454364034249-1797054372158969047,android,2/4/2016,install,null,null
Clash of Fire Android,organic,BR,1454364759013-8088435772920783214,android,2/5/2016,install,null,null
Clash of Fire iOS,organic,US,1454343396000-8636355,ios,2/6/2016,install,null,null
Clash of Fire iOS,organic,US,1454309901000-5082239,ios,2/6/2016,install,null,null
Clash of Fire iOS,organic,US,1454348600000-9455104,ios,2/1/2016,install,null,null
Clash of Fire Android,organic,US,1454367376430-3563395050426309767,android,2/1/2016,install,null,null
Clash of Fire Android,organic,US,1454365634414-7901391029332191981,android,2/1/2016,install,null,null
Clash of Fire Android,organic,US,1454369930385-8026143297614762930,android,2/3/2016,install,null,null
Clash of Fire iOS,organic,US,1454351226000-6109159,ios,2/7/2016,install,null,null
Clash of Fire iOS,organic,VN,1454395237000-3561969,ios,2/6/2016,install,null,null
Clash of Fire Android,organic,MY,1454378913066-850081574473708749,android,2/6/2016,install,null,null
Clash of Fire iOS,organic,US,1454264946000-8591192,ios,2/2/2016,install,null,null
Clash of Fire iOS,organic,US,1454274594000-1388199,ios,2/2/2016,install,null,null
Clash of Fire Android,organic,TH,1449569133000-20191561838115067,android,2/2/2016,install,null,null
Clash of Fire iOS,organic,VN,1454192946000-4132807,ios,2/1/2016,install,null,null
Clash of Fire iOS,organic,CN,1454323989000-9942551,ios,2/7/2016,install,null,null
Clash of Fire Android,organic,BO,1454296126888-146600891703126014,android,2/7/2016,install,null,null
Clash of Fire Android,organic,US,1454296450330-7097591473542104044,android,2/1/2016,install,null,null
Clash of Fire Android,organic,US,1454296556884-9179710631865955418,android,2/3/2016,install,null,null
Clash of Fire Android,organic,US,1454296759187-2701451555181749787,android,2/2/2016,install,null,null
Clash of Fire Android,organic,TH,1454297405866-3094911847028578049,android,2/2/2016,install,null,null
Clash of Fire Android,organic,US,1454297473363-8925280457265332425,android,2/1/2016,install,null,null
Clash of Fire iOS,organic,CA,1454280133000-7187176,ios,2/1/2016,install,null,null
Clash of Fire Android,organic,SG,1454299047211-8616612209019213017,android,2/4/2016,install,null,null
Clash of Fire Android,organic,CN,1454299299349-401423107306743033,android,2/1/2016,install,null,null
Clash of Fire Android,organic,SR,1454300895863-5279599316455723722,android,2/7/2016,install,null,null
Clash of Fire iOS,organic,US,1454119619000-9015949,ios,2/3/2016,install,null,null
Clash of Fire Android,organic,US,1454302143979-1464344475808833163,android,2/3/2016,install,null,null
Clash of Fire Android,organic,BR,1454303758439-5756954904819456925,android,2/5/2016,install,null,null
Clash of Fire iOS,organic,CA,1454286018000-7208954,ios,2/5/2016,install,null,null
Clash of Fire Android,organic,MX,1454298946477-687781169858840558,android,2/3/2016,install,null,null
Clash of Fire Android,organic,AU,1454301090897-5091327422046174928,android,2/7/2016,install,null,null
Clash of Fire Android,organic,MX,1453688113166-2137430538299088145,android,2/4/2016,install,null,null
